cluster,trace_count,trace_prevalence,failure_step_min,failure_step_25th,failure_step_median,failure_step_mean,failure_step_75th,failure_step_max
0,9400,0.9764204840552613,77,105.0,120.0,130.82106382978722,146.0,346
1,227,0.023579515944738755,181,214.5,233.0,236.95154185022025,252.0,348
