unique_state_id,mcmc_row,failure_step,cluster,pca_1,pca_2,tsne_1,tsne_2,umap_1,umap_2
0,0,289,0,5.03925085067749,6.109338760375977,55.241455078125,33.69148635864258,10.92374038696289,8.431625366210938
1,1,153,0,2.100205183029175,7.075645446777344,8.449342727661133,66.11201477050781,5.277587890625,14.652039527893066
2,6,163,0,0.7514102458953857,-8.135348320007324,50.08489990234375,-69.13327026367188,13.895567893981934,-1.2222955226898193
3,7,198,0,3.0470359325408936,8.24991512298584,15.715154647827148,76.00115966796875,5.755231857299805,15.418502807617188
4,8,151,0,2.571122407913208,7.304158687591553,14.892353057861328,68.13507080078125,5.689611911773682,14.935782432556152
5,12,154,0,-3.433288335800171,6.563690185546875,-3.178529977798462,65.88134002685547,2.780954360961914,14.160597801208496
6,15,160,0,-1.1512845754623413,-0.2748491168022156,-9.739407539367676,-15.140158653259277,8.632495880126953,2.6064324378967285
7,16,118,0,-3.751023769378662,-0.2794066369533539,-53.001976013183594,26.658824920654297,0.42756637930870056,10.689627647399902
8,19,135,0,2.171229600906372,12.387460708618164,15.091136932373047,94.05963897705078,7.507037162780762,13.648518562316895
9,26,113,0,-1.0530740022659302,0.5527264475822449,-7.470493316650391,-6.554872512817383,8.411652565002441,3.2329933643341064
10,28,197,0,7.415454387664795,6.244503498077393,52.44738006591797,39.15180587768555,10.948708534240723,8.88238525390625
11,30,118,0,-3.5653610229492188,0.35013511776924133,-52.656349182128906,26.645751953125,0.7487059831619263,10.881174087524414
12,40,301,0,-1.796218991279602,-5.313417434692383,6.962613582611084,-78.90587615966797,11.133130073547363,-1.7103996276855469
13,41,162,0,-0.6873234510421753,0.1901007443666458,8.716472625732422,-7.578849792480469,9.895075798034668,3.763646125793457
14,47,151,0,3.6290290355682373,7.843451976776123,20.400981903076172,67.54549407958984,6.247543811798096,14.987812995910645
15,48,171,0,-4.557024955749512,-0.6569331884384155,-73.94398498535156,40.66227722167969,-1.274641752243042,11.440974235534668
16,58,121,0,-2.4210453033447266,-3.5427255630493164,-19.81865119934082,-63.410972595214844,9.064764976501465,-0.7682621479034424
17,60,184,0,-3.2977943420410156,-3.4458506107330322,-32.52894592285156,-63.520755767822266,8.039390563964844,-1.1224116086959839
18,68,209,0,-2.412606716156006,-2.6172850131988525,-19.436355590820312,-45.963592529296875,8.7196626663208,-0.08854600787162781
19,72,204,0,-1.9291774034500122,5.308061122894287,-22.820974349975586,69.36473083496094,2.5036487579345703,14.248272895812988
20,73,160,0,-0.586142897605896,0.11489836126565933,-4.483869552612305,-7.951656341552734,9.040688514709473,3.240537643432617
21,74,170,0,-2.3570992946624756,0.9679643511772156,-24.30122947692871,5.041701793670654,6.871415138244629,3.1737060546875
22,79,201,0,2.520054340362549,3.314453363418579,34.84967041015625,23.383813858032227,10.053032875061035,6.7821526527404785
23,88,154,0,3.550123691558838,4.2856340408325195,43.37985610961914,31.483566284179688,10.280314445495605,7.846318244934082
24,91,120,0,-4.062171936035156,-2.067094326019287,-69.48421478271484,12.179537773132324,-0.1910550743341446,9.643573760986328
25,92,164,0,-0.0492047555744648,0.06201549246907234,22.30316734313965,-2.5142083168029785,10.488129615783691,4.0842671394348145
26,94,154,0,4.416540622711182,4.965256214141846,47.5819091796875,32.48637390136719,10.549574851989746,8.078108787536621
27,100,162,0,-0.06502293795347214,0.9808346629142761,22.195722579956055,-1.8021601438522339,10.245917320251465,4.173308849334717
28,102,135,0,2.3287415504455566,12.554015159606934,15.321447372436523,94.23771667480469,7.5868048667907715,13.673680305480957
